Date,Active Energy (kcal),Apple Exercise Time (min),Apple Sleeping Wrist Temperature (ºF),Apple Stand Hour (hours),Apple Stand Time (min),Blood Oxygen Saturation (%),Flights Climbed (count),Headphone Audio Exposure (dBASPL),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Resting Energy (kcal),Resting Heart Rate (bpm),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Step Count (steps),Walking Double Support Percentage (%),Walking Heart Rate Average (bpm),Walking Speed (mi/hr) ,Total Sleep
2024-11-26 00:00:00,837.72,65,,14,190,97.92,3,55.26,48,149,74.15,72.97,12.69,2058,54.5,4.450000000000000,1.3333333333333300,1.375,0.5,8631,28.9,77,2.58,8.667
2024-11-27 00:00:00,359.85,12,,9,62,96.93,1,56.19,51,136,76.84,44.73,13.06,1999,63,4.291666666666670,1.1666666666666700,1.7750000000000000,0.24166666666666700,3942,28.59,97,2.57,7.266
2024-11-28 00:00:00,332.71,3,,9,86,97.94,1,51.76,50,112,66.83,59.66,13.11,1976,58.5,5.383333333333340,1.2583333333333300,1.575,0.29166666666666700,4867,28.79,88,2.73,8.633
2024-11-29 00:00:00,631.92,65,,11,104.6,97.12,2,56.97,48,141,74.9,94.56,13.61,2003,59.5,4.475,1.125,2.633333333333330,0.15833333333333300,5612,29.1,88,2.48,8.733
2024-11-30 00:00:00,512.31,15,97.03,12,153,97.26,8,43.86,52,142,69.77,54.33,12.88,2030,58.5,4.625000000000000,1.3833333333333300,1.4083333333333300,0.7333333333333330,8979,29.47,94,2.28,9.633
2024-12-01 00:00:00,243.93,1,96.2,10,37,97.57,,49.92,47,100,63.84,67.91,12.7,1954,56.5,4.05,1.0416666666666700,2.0,0.42500000000000000,2454,28.8,89,2.49,8.533
2024-12-02 00:00:00,525.81,13,96.69,15,110,97.63,1,51.83,50,106,68.32,65.85,12.88,2069,60.5,4.308333333333330,0.8333333333333330,1.5,0.5500000000000000,6573,28.69,99,2.64,6.933
2024-12-03 00:00:00,537.26,24,,14,125,97.94,2,56.25,54,117,71.49,62.15,12.69,2032,62,4.883333333333330,0.875,1.65,0.43333333333333300,6963,28.49,87,2.71,7.483
2024-12-04 00:00:00,405.62,19,97.47,13,101,97.4,8,54.99,52,109,70.14,51.78,12.67,1958,62,3.9333333333333300,1.1,1.2833333333333300,0.49166666666666700,6400,28.25,,2.8,6.7
2024-12-05 00:00:00,582.91,19,96.73,16,127,97.33,6,53.28,51,123,66.45,59.47,12.07,2078,58.5,3.3416666666666700,1.2250000000000000,1.975,0.20833333333333300,6173,28.36,88,2.66,6.683
